# ucsc	ensembl	genbank	refseq
chr1	1	CM008168.2	NC_037328.1
chrUn_NW_020190224v1	NKLS02000140.1	NKLS02000140.1	NW_020190224.1
chrUn_NW_020190225v1	NKLS02000141.1	NKLS02000141.1	NW_020190225.1
chrUn_NW_020190226v1	NKLS02000142.1	NKLS02000142.1	NW_020190226.1
chrUn_NW_020190227v1	NKLS02000143.1	NKLS02000143.1	NW_020190227.1
chrUn_NW_020190228v1	NKLS02000144.1	NKLS02000144.1	NW_020190228.1
chrUn_NW_020190229v1	NKLS02000145.1	NKLS02000145.1	NW_020190229.1
chrUn_NW_020190230v1	NKLS02000146.1	NKLS02000146.1	NW_020190230.1
chrUn_NW_020190231v1	NKLS02000147.1	NKLS02000147.1	NW_020190231.1
chrUn_NW_020190232v1	NKLS02000148.1	NKLS02000148.1	NW_020190232.1
chrUn_NW_020190233v1	NKLS02000149.1	NKLS02000149.1	NW_020190233.1
chrUn_NW_020190234v1	NKLS02000150.1	NKLS02000150.1	NW_020190234.1
chrUn_NW_020190235v1	NKLS02000151.1	NKLS02000151.1	NW_020190235.1
chrUn_NW_020190236v1	NKLS02000152.1	NKLS02000152.1	NW_020190236.1
chrUn_NW_020190237v1	NKLS02000153.1	NKLS02000153.1	NW_020190237.1
chrUn_NW_020190238v1	NKLS02000154.1	NKLS02000154.1	NW_020190238.1
chrUn_NW_020190239v1	NKLS02000155.1	NKLS02000155.1	NW_020190239.1
chrUn_NW_020190240v1	NKLS02000156.1	NKLS02000156.1	NW_020190240.1
chrUn_NW_020190241v1	NKLS02000157.1	NKLS02000157.1	NW_020190241.1
chrUn_NW_020190242v1	NKLS02000158.1	NKLS02000158.1	NW_020190242.1
chrUn_NW_020190243v1	NKLS02000159.1	NKLS02000159.1	NW_020190243.1
chrUn_NW_020190244v1	NKLS02000160.1	NKLS02000160.1	NW_020190244.1
chrUn_NW_020190245v1	NKLS02000161.1	NKLS02000161.1	NW_020190245.1
chrUn_NW_020190246v1	NKLS02000162.1	NKLS02000162.1	NW_020190246.1
chrUn_NW_020190247v1	NKLS02000163.1	NKLS02000163.1	NW_020190247.1
chrUn_NW_020190248v1	NKLS02000164.1	NKLS02000164.1	NW_020190248.1
chrUn_NW_020190249v1	NKLS02000165.1	NKLS02000165.1	NW_020190249.1
chrUn_NW_020190250v1	NKLS02000166.1	NKLS02000166.1	NW_020190250.1
chrUn_NW_020190251v1	NKLS02000167.1	NKLS02000167.1	NW_020190251.1
chrUn_NW_020190252v1	NKLS02000168.1	NKLS02000168.1	NW_020190252.1
chrUn_NW_020190253v1	NKLS02000169.1	NKLS02000169.1	NW_020190253.1
chrUn_NW_020190254v1	NKLS02000170.1	NKLS02000170.1	NW_020190254.1
chrUn_NW_020190255v1	NKLS02000171.1	NKLS02000171.1	NW_020190255.1
chrUn_NW_020190256v1	NKLS02000172.1	NKLS02000172.1	NW_020190256.1
chrUn_NW_020190257v1	NKLS02000173.1	NKLS02000173.1	NW_020190257.1
chrUn_NW_020190258v1	NKLS02000174.1	NKLS02000174.1	NW_020190258.1
chrUn_NW_020190259v1	NKLS02000175.1	NKLS02000175.1	NW_020190259.1
chrUn_NW_020190260v1	NKLS02000176.1	NKLS02000176.1	NW_020190260.1
chrUn_NW_020190261v1	NKLS02000177.1	NKLS02000177.1	NW_020190261.1
chrUn_NW_020190262v1	NKLS02000178.1	NKLS02000178.1	NW_020190262.1
chrUn_NW_020190263v1	NKLS02000179.1	NKLS02000179.1	NW_020190263.1
chrUn_NW_020190264v1	NKLS02000180.1	NKLS02000180.1	NW_020190264.1
chrUn_NW_020190265v1	NKLS02000181.1	NKLS02000181.1	NW_020190265.1
chrUn_NW_020190266v1	NKLS02000182.1	NKLS02000182.1	NW_020190266.1
chrUn_NW_020190267v1	NKLS02000183.1	NKLS02000183.1	NW_020190267.1
chrUn_NW_020190268v1	NKLS02000184.1	NKLS02000184.1	NW_020190268.1
chrUn_NW_020190269v1	NKLS02000185.1	NKLS02000185.1	NW_020190269.1
chrUn_NW_020190270v1	NKLS02000186.1	NKLS02000186.1	NW_020190270.1
chrUn_NW_020190271v1	NKLS02000187.1	NKLS02000187.1	NW_020190271.1
chrUn_NW_020190272v1	NKLS02000188.1	NKLS02000188.1	NW_020190272.1
chrUn_NW_020190273v1	NKLS02000189.1	NKLS02000189.1	NW_020190273.1
chrUn_NW_020190274v1	NKLS02000190.1	NKLS02000190.1	NW_020190274.1
chrUn_NW_020190275v1	NKLS02000191.1	NKLS02000191.1	NW_020190275.1
chrUn_NW_020190276v1	NKLS02000192.1	NKLS02000192.1	NW_020190276.1
chrUn_NW_020190277v1	NKLS02000193.1	NKLS02000193.1	NW_020190277.1
chrUn_NW_020190278v1	NKLS02000194.1	NKLS02000194.1	NW_020190278.1
chrUn_NW_020190279v1	NKLS02000195.1	NKLS02000195.1	NW_020190279.1
chrUn_NW_020190280v1	NKLS02000196.1	NKLS02000196.1	NW_020190280.1
chrUn_NW_020190281v1	NKLS02000197.1	NKLS02000197.1	NW_020190281.1
chrUn_NW_020190282v1	NKLS02000198.1	NKLS02000198.1	NW_020190282.1
chrUn_NW_020190283v1	NKLS02000199.1	NKLS02000199.1	NW_020190283.1
chrUn_NW_020190284v1	NKLS02000200.1	NKLS02000200.1	NW_020190284.1
chrUn_NW_020190285v1	NKLS02000201.1	NKLS02000201.1	NW_020190285.1
chrUn_NW_020190286v1	NKLS02000202.1	NKLS02000202.1	NW_020190286.1
chrUn_NW_020190287v1	NKLS02000203.1	NKLS02000203.1	NW_020190287.1
chrUn_NW_020190288v1	NKLS02000204.1	NKLS02000204.1	NW_020190288.1
chrUn_NW_020190289v1	NKLS02000205.1	NKLS02000205.1	NW_020190289.1
chrUn_NW_020190290v1	NKLS02000206.1	NKLS02000206.1	NW_020190290.1
chrUn_NW_020190291v1	NKLS02000207.1	NKLS02000207.1	NW_020190291.1
chrUn_NW_020190292v1	NKLS02000208.1	NKLS02000208.1	NW_020190292.1
chrUn_NW_020190293v1	NKLS02000209.1	NKLS02000209.1	NW_020190293.1
chrUn_NW_020190294v1	NKLS02000210.1	NKLS02000210.1	NW_020190294.1
chrUn_NW_020190295v1	NKLS02000211.1	NKLS02000211.1	NW_020190295.1
chrUn_NW_020190296v1	NKLS02000212.1	NKLS02000212.1	NW_020190296.1
chrUn_NW_020190297v1	NKLS02000213.1	NKLS02000213.1	NW_020190297.1
chrUn_NW_020190298v1	NKLS02000214.1	NKLS02000214.1	NW_020190298.1
chrUn_NW_020190299v1	NKLS02000215.1	NKLS02000215.1	NW_020190299.1
chrUn_NW_020190300v1	NKLS02000216.1	NKLS02000216.1	NW_020190300.1
chrUn_NW_020190301v1	NKLS02000217.1	NKLS02000217.1	NW_020190301.1
chrUn_NW_020190302v1	NKLS02000218.1	NKLS02000218.1	NW_020190302.1
chrUn_NW_020190303v1	NKLS02000219.1	NKLS02000219.1	NW_020190303.1
chrUn_NW_020190304v1	NKLS02000220.1	NKLS02000220.1	NW_020190304.1
chrUn_NW_020190305v1	NKLS02000221.1	NKLS02000221.1	NW_020190305.1
chrUn_NW_020190306v1	NKLS02000222.1	NKLS02000222.1	NW_020190306.1
chrUn_NW_020190307v1	NKLS02000223.1	NKLS02000223.1	NW_020190307.1
chrUn_NW_020190308v1	NKLS02000224.1	NKLS02000224.1	NW_020190308.1
chrUn_NW_020190309v1	NKLS02000225.1	NKLS02000225.1	NW_020190309.1
chrUn_NW_020190310v1	NKLS02000226.1	NKLS02000226.1	NW_020190310.1
chrUn_NW_020190311v1	NKLS02000227.1	NKLS02000227.1	NW_020190311.1
chrUn_NW_020190312v1	NKLS02000228.1	NKLS02000228.1	NW_020190312.1
chrUn_NW_020190313v1	NKLS02000229.1	NKLS02000229.1	NW_020190313.1
chrUn_NW_020190314v1	NKLS02000230.1	NKLS02000230.1	NW_020190314.1
chrUn_NW_020190315v1	NKLS02000231.1	NKLS02000231.1	NW_020190315.1
chrUn_NW_020190316v1	NKLS02000232.1	NKLS02000232.1	NW_020190316.1
chrUn_NW_020190317v1	NKLS02000233.1	NKLS02000233.1	NW_020190317.1
chrUn_NW_020190318v1	NKLS02000234.1	NKLS02000234.1	NW_020190318.1
chrUn_NW_020190319v1	NKLS02000235.1	NKLS02000235.1	NW_020190319.1
chrUn_NW_020190320v1	NKLS02000236.1	NKLS02000236.1	NW_020190320.1
chrUn_NW_020190321v1	NKLS02000237.1	NKLS02000237.1	NW_020190321.1
chrUn_NW_020190322v1	NKLS02000238.1	NKLS02000238.1	NW_020190322.1
chrUn_NW_020190323v1	NKLS02000239.1	NKLS02000239.1	NW_020190323.1
chrUn_NW_020190324v1	NKLS02000240.1	NKLS02000240.1	NW_020190324.1
chrUn_NW_020190325v1	NKLS02000241.1	NKLS02000241.1	NW_020190325.1
chrUn_NW_020190326v1	NKLS02000242.1	NKLS02000242.1	NW_020190326.1
chrUn_NW_020190327v1	NKLS02000243.1	NKLS02000243.1	NW_020190327.1
chrUn_NW_020190328v1	NKLS02000244.1	NKLS02000244.1	NW_020190328.1
chrUn_NW_020190329v1	NKLS02000245.1	NKLS02000245.1	NW_020190329.1
chrUn_NW_020190330v1	NKLS02000246.1	NKLS02000246.1	NW_020190330.1
chrUn_NW_020190331v1	NKLS02000247.1	NKLS02000247.1	NW_020190331.1
chrUn_NW_020190332v1	NKLS02000248.1	NKLS02000248.1	NW_020190332.1
chrUn_NW_020190333v1	NKLS02000249.1	NKLS02000249.1	NW_020190333.1
chrUn_NW_020190334v1	NKLS02000250.1	NKLS02000250.1	NW_020190334.1
chrUn_NW_020190335v1	NKLS02000251.1	NKLS02000251.1	NW_020190335.1
chrUn_NW_020190336v1	NKLS02000252.1	NKLS02000252.1	NW_020190336.1
chrUn_NW_020190337v1	NKLS02000253.1	NKLS02000253.1	NW_020190337.1
chrUn_NW_020190338v1	NKLS02000254.1	NKLS02000254.1	NW_020190338.1
chrUn_NW_020190339v1	NKLS02000255.1	NKLS02000255.1	NW_020190339.1
chrUn_NW_020190340v1	NKLS02000256.1	NKLS02000256.1	NW_020190340.1
chrUn_NW_020190341v1	NKLS02000257.1	NKLS02000257.1	NW_020190341.1
chrUn_NW_020190342v1	NKLS02000258.1	NKLS02000258.1	NW_020190342.1
chrUn_NW_020190343v1	NKLS02000259.1	NKLS02000259.1	NW_020190343.1
chrUn_NW_020190344v1	NKLS02000260.1	NKLS02000260.1	NW_020190344.1
chrUn_NW_020190345v1	NKLS02000261.1	NKLS02000261.1	NW_020190345.1
chrUn_NW_020190346v1	NKLS02000262.1	NKLS02000262.1	NW_020190346.1
chrUn_NW_020190347v1	NKLS02000263.1	NKLS02000263.1	NW_020190347.1
chrUn_NW_020190348v1	NKLS02000264.1	NKLS02000264.1	NW_020190348.1
chrUn_NW_020190349v1	NKLS02000265.1	NKLS02000265.1	NW_020190349.1
chrUn_NW_020190350v1	NKLS02000266.1	NKLS02000266.1	NW_020190350.1
chrUn_NW_020190351v1	NKLS02000267.1	NKLS02000267.1	NW_020190351.1
chrUn_NW_020190352v1	NKLS02000268.1	NKLS02000268.1	NW_020190352.1
chrUn_NW_020190353v1	NKLS02000269.1	NKLS02000269.1	NW_020190353.1
chrUn_NW_020190354v1	NKLS02000270.1	NKLS02000270.1	NW_020190354.1
chrUn_NW_020190355v1	NKLS02000271.1	NKLS02000271.1	NW_020190355.1
chrUn_NW_020190356v1	NKLS02000272.1	NKLS02000272.1	NW_020190356.1
chrUn_NW_020190357v1	NKLS02000273.1	NKLS02000273.1	NW_020190357.1
chrUn_NW_020190358v1	NKLS02000274.1	NKLS02000274.1	NW_020190358.1
chrUn_NW_020190359v1	NKLS02000275.1	NKLS02000275.1	NW_020190359.1
chrUn_NW_020190360v1	NKLS02000276.1	NKLS02000276.1	NW_020190360.1
chrUn_NW_020190361v1	NKLS02000277.1	NKLS02000277.1	NW_020190361.1
chrUn_NW_020190362v1	NKLS02000278.1	NKLS02000278.1	NW_020190362.1
chrUn_NW_020190363v1	NKLS02000279.1	NKLS02000279.1	NW_020190363.1
chrUn_NW_020190364v1	NKLS02000280.1	NKLS02000280.1	NW_020190364.1
chrUn_NW_020190365v1	NKLS02000281.1	NKLS02000281.1	NW_020190365.1
chrUn_NW_020190366v1	NKLS02000282.1	NKLS02000282.1	NW_020190366.1
chrUn_NW_020190367v1	NKLS02000283.1	NKLS02000283.1	NW_020190367.1
chrUn_NW_020190368v1	NKLS02000284.1	NKLS02000284.1	NW_020190368.1
chrUn_NW_020190369v1	NKLS02000285.1	NKLS02000285.1	NW_020190369.1
chrUn_NW_020190370v1	NKLS02000286.1	NKLS02000286.1	NW_020190370.1
chrUn_NW_020190371v1	NKLS02000287.1	NKLS02000287.1	NW_020190371.1
chrUn_NW_020190372v1	NKLS02000288.1	NKLS02000288.1	NW_020190372.1
chrUn_NW_020190373v1	NKLS02000289.1	NKLS02000289.1	NW_020190373.1
chrUn_NW_020190374v1	NKLS02000290.1	NKLS02000290.1	NW_020190374.1
chrUn_NW_020190375v1	NKLS02000291.1	NKLS02000291.1	NW_020190375.1
chrUn_NW_020190376v1	NKLS02000292.1	NKLS02000292.1	NW_020190376.1
chrUn_NW_020190377v1	NKLS02000293.1	NKLS02000293.1	NW_020190377.1
chrUn_NW_020190378v1	NKLS02000294.1	NKLS02000294.1	NW_020190378.1
chrUn_NW_020190379v1	NKLS02000295.1	NKLS02000295.1	NW_020190379.1
chrUn_NW_020190380v1	NKLS02000296.1	NKLS02000296.1	NW_020190380.1
chrUn_NW_020190381v1	NKLS02000297.1	NKLS02000297.1	NW_020190381.1
chrUn_NW_020190382v1	NKLS02000298.1	NKLS02000298.1	NW_020190382.1
chrUn_NW_020190383v1	NKLS02000299.1	NKLS02000299.1	NW_020190383.1
chrUn_NW_020190384v1	NKLS02000300.1	NKLS02000300.1	NW_020190384.1
chrUn_NW_020190385v1	NKLS02000301.1	NKLS02000301.1	NW_020190385.1
chrUn_NW_020190386v1	NKLS02000302.1	NKLS02000302.1	NW_020190386.1
chrUn_NW_020190387v1	NKLS02000303.1	NKLS02000303.1	NW_020190387.1
chrUn_NW_020190388v1	NKLS02000304.1	NKLS02000304.1	NW_020190388.1
chrUn_NW_020190389v1	NKLS02000305.1	NKLS02000305.1	NW_020190389.1
chrUn_NW_020190390v1	NKLS02000306.1	NKLS02000306.1	NW_020190390.1
chrUn_NW_020190391v1	NKLS02000307.1	NKLS02000307.1	NW_020190391.1
chrUn_NW_020190392v1	NKLS02000308.1	NKLS02000308.1	NW_020190392.1
chrUn_NW_020190393v1	NKLS02000309.1	NKLS02000309.1	NW_020190393.1
chrUn_NW_020190394v1	NKLS02000310.1	NKLS02000310.1	NW_020190394.1
chrUn_NW_020190395v1	NKLS02000311.1	NKLS02000311.1	NW_020190395.1
chrUn_NW_020190396v1	NKLS02000312.1	NKLS02000312.1	NW_020190396.1
chrUn_NW_020190397v1	NKLS02000313.1	NKLS02000313.1	NW_020190397.1
chrUn_NW_020190398v1	NKLS02000314.1	NKLS02000314.1	NW_020190398.1
chrUn_NW_020190399v1	NKLS02000315.1	NKLS02000315.1	NW_020190399.1
chrUn_NW_020190400v1	NKLS02000316.1	NKLS02000316.1	NW_020190400.1
chrUn_NW_020190401v1	NKLS02000317.1	NKLS02000317.1	NW_020190401.1
chrUn_NW_020190402v1	NKLS02000318.1	NKLS02000318.1	NW_020190402.1
chrUn_NW_020190403v1	NKLS02000319.1	NKLS02000319.1	NW_020190403.1
chrUn_NW_020190404v1	NKLS02000320.1	NKLS02000320.1	NW_020190404.1
chrUn_NW_020190405v1	NKLS02000321.1	NKLS02000321.1	NW_020190405.1
chrUn_NW_020190406v1	NKLS02000322.1	NKLS02000322.1	NW_020190406.1
chrUn_NW_020190407v1	NKLS02000323.1	NKLS02000323.1	NW_020190407.1
chrUn_NW_020190408v1	NKLS02000324.1	NKLS02000324.1	NW_020190408.1
chrUn_NW_020190409v1	NKLS02000325.1	NKLS02000325.1	NW_020190409.1
chrUn_NW_020190410v1	NKLS02000326.1	NKLS02000326.1	NW_020190410.1
chrUn_NW_020190411v1	NKLS02000327.1	NKLS02000327.1	NW_020190411.1
chrUn_NW_020190412v1	NKLS02000328.1	NKLS02000328.1	NW_020190412.1
chrUn_NW_020190413v1	NKLS02000329.1	NKLS02000329.1	NW_020190413.1
chrUn_NW_020190414v1	NKLS02000330.1	NKLS02000330.1	NW_020190414.1
chrUn_NW_020190415v1	NKLS02000331.1	NKLS02000331.1	NW_020190415.1
chrUn_NW_020190416v1	NKLS02000332.1	NKLS02000332.1	NW_020190416.1
chrUn_NW_020190417v1	NKLS02000333.1	NKLS02000333.1	NW_020190417.1
chrUn_NW_020190418v1	NKLS02000334.1	NKLS02000334.1	NW_020190418.1
chrUn_NW_020190419v1	NKLS02000335.1	NKLS02000335.1	NW_020190419.1
chrUn_NW_020190420v1	NKLS02000336.1	NKLS02000336.1	NW_020190420.1
chrUn_NW_020190421v1	NKLS02000337.1	NKLS02000337.1	NW_020190421.1
chrUn_NW_020190422v1	NKLS02000338.1	NKLS02000338.1	NW_020190422.1
chrUn_NW_020190423v1	NKLS02000339.1	NKLS02000339.1	NW_020190423.1
